startdate,enddate,location,eventattendancemode,organizer,performer
0,0,0,0,0,0
0,1,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,11,0,0,0,0
0,11,0,0,0,0
1,12,0,0,0,0
2,13,0,0,0,0
3,14,0,0,0,0
4,15,0,0,0,0
4,16,0,0,0,0
4,17,0,0,0,0
4,18,0,0,0,0
4,19,0,0,0,0
5,20,0,0,0,0
6,21,0,0,0,0
7,22,0,0,0,0
8,23,0,0,0,0
9,24,0,0,0,0
10,25,0,0,0,0
11,26,0,0,0,0
12,27,0,0,0,0
12,28,0,0,0,0
12,29,0,0,0,0
12,30,0,0,0,0
12,31,0,0,0,0
12,32,0,0,0,0
12,33,0,0,0,0
12,34,0,0,0,0
13,35,0,0,0,0
14,36,0,0,0,0
14,37,0,0,0,0
14,37,0,0,0,0
14,38,0,0,0,0
14,39,0,0,0,0
14,40,0,0,0,0
14,41,0,0,0,0
14,42,0,0,0,0
14,43,0,0,0,0
14,44,0,0,0,0
14,45,0,0,0,0
14,46,0,0,0,0
14,47,0,0,0,0
14,48,0,0,0,0
14,49,0,0,0,0
14,50,0,0,0,0
15,51,0,0,0,0
16,52,0,0,0,0
17,53,0,0,0,0
18,54,0,0,0,0
18,55,0,0,0,0
19,56,0,0,0,0
20,57,0,0,0,0
21,58,0,0,0,0
22,59,0,0,0,0
23,60,0,0,0,0
23,61,0,0,0,0
23,62,0,0,0,0
24,63,0,0,0,0
24,64,0,0,0,0
24,64,0,0,0,0
24,65,0,0,0,0
24,66,0,0,0,0
24,66,0,0,0,0
24,67,0,0,0,0
25,68,0,0,0,0
25,69,0,0,0,0
26,70,0,0,0,0
27,71,0,0,0,0
28,72,0,0,0,0
29,73,0,0,0,0
30,74,0,0,0,0
31,75,0,0,0,0
32,75,0,0,0,0
33,76,0,0,0,0
34,77,0,0,0,0
35,77,0,0,0,0
35,78,0,0,0,0
36,79,0,0,0,0
37,80,0,0,0,0
38,81,0,0,0,0
39,82,0,0,0,0
40,83,0,0,0,0
41,84,0,0,0,0
42,85,0,0,0,0
43,86,0,0,0,0
44,87,0,0,0,0
44,88,0,0,0,0
45,89,0,0,0,0
45,90,0,0,0,0
45,91,0,0,0,0
46,92,0,0,0,0
46,93,0,0,0,0
46,94,0,0,0,0
46,95,0,0,0,0
46,96,0,0,0,0
47,97,0,0,0,0
48,98,0,0,0,0
48,99,0,0,0,0
48,100,0,0,0,0
48,100,0,0,0,0
48,101,0,0,0,0
48,102,0,0,0,0
48,103,0,0,0,0
48,104,0,0,0,0
48,105,0,0,0,0
48,106,0,0,0,0
48,107,0,0,0,0
49,108,0,0,0,0
50,109,0,0,0,0
50,110,0,0,0,0
50,111,0,0,0,0
50,112,0,0,0,0
50,113,0,0,0,0
50,114,0,0,0,0
50,115,0,0,0,0
50,116,0,0,0,0
50,117,0,0,0,0
50,118,0,0,0,0
50,119,0,0,0,0
50,120,0,0,0,0
50,121,0,0,0,0
50,121,0,0,0,0
51,122,0,0,0,0
52,123,0,0,0,0
53,124,0,0,0,0
54,125,0,0,0,0
55,126,0,0,0,0
55,127,0,0,0,0
55,128,0,0,0,0
55,129,0,0,0,0
56,130,0,0,0,0
56,131,0,0,0,0
56,132,0,0,0,0
57,133,0,0,0,0
58,134,0,0,0,0
59,135,0,0,0,0
59,136,0,0,0,0
60,137,0,0,0,0
61,138,0,0,0,0
62,139,0,0,0,0
62,140,0,0,0,0
63,141,0,0,0,0
64,142,0,0,0,0
65,143,0,0,0,0
65,144,0,0,0,0
65,145,0,0,0,0
65,146,0,0,0,0
65,147,0,0,0,0
66,148,0,0,0,0
66,149,0,0,0,0
66,150,0,0,0,0
67,151,0,0,0,0
68,152,0,0,0,0
69,153,0,0,0,0
70,154,0,0,0,0
71,155,0,0,0,0
72,156,0,0,0,0
73,157,0,0,0,0
74,158,0,0,0,0
75,159,0,0,0,0
76,160,0,0,0,0
76,161,0,0,0,0
77,162,0,0,0,0
78,163,0,0,0,0
79,164,0,0,0,0
80,165,0,0,0,0
81,166,0,0,0,0
82,167,0,0,0,0
83,168,0,0,0,0
84,169,0,0,0,0
85,170,0,0,0,0
86,171,0,0,0,0
86,172,0,0,0,0
86,173,0,0,0,0
87,174,0,0,0,0
87,175,0,0,0,0
87,176,0,0,0,0
88,177,0,0,0,0
89,178,0,0,0,0
90,179,0,0,0,0
90,180,0,0,0,0
91,181,0,0,0,0
91,182,0,0,0,0
92,183,0,0,0,0
92,183,0,0,0,0
92,184,0,0,0,0
92,185,0,0,0,0
92,186,0,0,0,0
92,187,0,0,0,0
92,187,0,0,0,0
92,188,0,0,0,0
92,189,0,0,0,0
92,190,0,0,0,0
92,191,0,0,0,0
92,192,0,0,0,0
92,193,0,0,0,0
92,194,0,0,0,0
92,195,0,0,0,0
92,195,0,0,0,0
92,195,0,0,0,0
92,195,0,0,0,0
92,196,0,0,0,0
92,197,0,0,0,0
92,198,0,0,0,0
92,199,0,0,0,0
92,200,0,0,0,0
92,200,0,0,0,0
93,201,0,0,0,0
94,202,0,0,0,0
94,203,0,0,0,0
94,204,0,0,0,0
95,205,0,0,0,0
96,206,0,0,0,0
96,207,0,0,0,0
96,208,0,0,0,0
96,209,0,0,0,0
96,210,0,0,0,0
96,211,0,0,0,0
96,212,0,0,0,0
96,213,0,0,0,0
96,214,0,0,0,0
96,214,0,0,0,0
96,215,0,0,0,0
96,216,0,0,0,0
96,217,0,0,0,0
96,218,0,0,0,0
96,219,0,0,0,0
96,220,0,0,0,0
96,221,0,0,0,0
96,222,0,0,0,0
96,222,0,0,0,0
96,222,0,0,0,0
96,223,0,0,0,0
96,224,0,0,0,0
96,225,0,0,0,0
96,226,0,0,0,0
96,227,0,0,0,0
96,228,0,0,0,0
97,229,0,0,0,0
97,230,0,0,0,0
97,231,0,0,0,0
97,232,0,0,0,0
97,233,0,0,0,0
97,234,0,0,0,0
97,235,0,0,0,0
97,236,0,0,0,0
97,237,0,0,0,0
97,238,0,0,0,0
98,239,0,0,0,0
98,240,0,0,0,0
98,241,0,0,0,0
98,242,0,0,0,0
98,243,0,0,0,0
98,244,0,0,0,0
98,245,0,0,0,0
98,246,0,0,0,0
98,247,0,0,0,0
99,248,0,0,0,0
100,249,0,0,0,0
101,250,0,0,0,0
102,251,0,0,0,0
103,252,0,0,0,0
104,253,0,0,0,0
105,254,0,0,0,0
106,255,0,0,0,0
107,256,0,0,0,0
108,257,0,0,0,0
108,258,0,0,0,0
108,259,0,0,0,0
108,260,0,0,0,0
108,261,0,0,0,0
108,262,0,0,0,0
108,263,0,0,0,0
108,264,0,0,0,0
108,265,0,0,0,0
108,266,0,0,0,0
108,267,0,0,0,0
108,268,0,0,0,0
108,269,0,0,0,0
108,270,0,0,0,0
108,271,0,0,0,0
108,272,0,0,0,0
108,273,0,0,0,0
109,274,0,0,0,0
110,275,0,0,0,0
111,276,0,0,0,0
112,277,0,0,0,0
112,277,0,0,0,0
112,278,0,0,0,0
112,279,0,0,0,0
112,280,0,0,0,0
112,281,0,0,0,0
112,282,0,0,0,0
112,283,0,0,0,0
112,284,0,0,0,0
112,285,0,0,0,0
112,286,0,0,0,0
112,287,0,0,0,0
112,288,0,0,0,0
112,289,0,0,0,0
112,290,0,0,0,0
112,291,0,0,0,0
112,292,0,0,0,0
112,293,0,0,0,0
112,294,0,0,0,0
112,295,0,0,0,0
112,296,0,0,0,0
112,297,0,0,0,0
113,298,0,0,0,0
114,299,0,0,0,0
115,300,0,0,0,0
116,301,0,0,0,0
116,302,0,0,0,0
116,303,0,0,0,0
116,304,0,0,0,0
116,305,0,0,0,0
116,305,0,0,0,0
116,305,0,0,0,0
116,305,0,0,0,0
116,305,0,0,0,0
116,306,0,0,0,0
116,307,0,0,0,0
116,308,0,0,0,0
117,309,0,0,0,0
118,310,0,0,0,0
119,311,0,0,0,0
120,312,0,0,0,0
120,313,0,0,0,0
121,313,0,0,0,0
122,314,0,0,0,0
122,315,0,0,0,0
122,316,0,0,0,0
122,317,0,0,0,0
122,318,0,0,0,0
122,319,0,0,0,0
122,320,0,0,0,0
122,321,0,0,0,0
122,322,0,0,0,0
122,323,0,0,0,0
122,324,0,0,0,0
122,325,0,0,0,0
123,326,0,0,0,0
124,327,0,0,0,0
125,328,0,0,0,0
126,329,0,0,0,0
126,330,0,0,0,0
127,331,0,0,0,0
128,332,0,0,0,0
129,333,0,0,0,0
129,333,0,0,0,0
129,334,0,0,0,0
130,335,0,0,0,0
131,336,0,0,0,0
131,337,0,0,0,0
132,338,0,0,0,0
132,339,0,0,0,0
132,340,0,0,0,0
132,341,0,0,0,0
132,342,0,0,0,0
132,343,0,0,0,0
133,344,0,0,0,0
134,345,0,0,0,0
134,345,0,0,0,0
134,345,0,0,0,0
135,346,0,0,0,0
136,347,0,0,0,0
136,348,0,0,0,0
137,349,0,0,0,0
138,350,0,0,0,0
139,351,0,0,0,0
139,352,0,0,0,0
140,353,0,0,0,0
141,354,0,0,0,0
141,355,0,0,0,0
142,356,0,0,0,0
142,357,0,0,0,0
142,358,0,0,0,0
142,359,0,0,0,0
142,360,0,0,0,0
142,361,0,0,0,0
142,362,0,0,0,0
142,363,0,0,0,0
142,364,0,0,0,0
142,365,0,0,0,0
142,366,0,0,0,0
143,367,0,0,0,0
144,368,0,0,0,0
144,369,0,0,0,0
144,370,0,0,0,0
144,371,0,0,0,0
144,372,0,0,0,0
145,373,0,0,0,0
146,374,0,0,0,0
147,375,0,0,0,0
148,376,0,0,0,0
149,377,0,0,0,0
149,378,0,0,0,0
150,379,0,0,0,0
151,380,0,0,0,0
151,381,0,0,0,0
151,382,0,0,0,0
152,383,0,0,0,0
153,384,0,0,0,0
154,385,0,0,0,0
155,386,0,0,0,0
156,387,0,0,0,0
157,388,0,0,0,0
157,389,0,0,0,0
158,390,0,0,0,0
159,390,0,0,0,0
160,391,0,0,0,0
161,392,0,0,0,0
162,393,0,0,0,0
163,394,0,0,0,0
164,395,0,0,0,0
164,396,0,0,0,0
165,397,0,0,0,0
166,398,0,0,0,0
167,399,0,0,0,0
167,400,0,0,0,0
168,401,0,0,0,0
169,402,0,0,0,0
169,403,0,0,0,0
169,404,0,0,0,0
170,405,0,0,0,0
171,406,0,0,0,0
171,407,0,0,0,0
171,407,0,0,0,0
171,407,0,0,0,0
171,408,0,0,0,0
171,409,0,0,0,0
172,410,0,0,0,0
173,411,0,0,0,0
174,412,0,0,0,0
175,413,0,0,0,0
176,414,0,0,0,0
176,415,0,0,0,0
177,416,0,0,0,0
178,417,0,0,0,0
179,418,0,0,0,0
180,419,0,0,0,0
181,419,0,0,0,0
182,420,0,0,0,0
182,421,0,0,0,0
182,421,0,0,0,0
182,422,0,0,0,0
182,423,0,0,0,0
182,424,0,0,0,0
182,425,0,0,0,0
182,426,0,0,0,0
182,427,0,0,0,0
183,428,0,0,0,0
184,429,0,0,0,0
185,430,0,0,0,0
186,431,0,0,0,0
186,432,0,0,0,0
187,433,0,0,0,0
187,434,0,0,0,0
188,435,0,0,0,0
189,436,0,0,0,0
189,437,0,0,0,0
190,438,0,0,0,0
191,439,0,0,0,0
192,440,0,0,0,0
193,441,0,0,0,0
194,442,0,0,0,0
195,443,0,0,0,0
196,444,0,0,0,0
197,445,0,0,0,0
198,446,0,0,0,0
199,447,0,0,0,0
200,448,0,0,0,0
201,449,0,0,0,0
202,450,0,0,0,0
203,451,0,0,0,0
204,452,0,0,0,0
205,452,0,0,0,0
206,452,0,0,0,0
207,453,0,0,0,0
208,454,0,0,0,0
209,455,0,0,0,0
210,456,0,0,0,0
211,457,0,0,0,0
212,458,0,0,0,0
213,459,0,0,0,0
214,460,0,0,0,0
215,461,0,0,0,0
216,461,0,0,0,0
217,462,0,0,0,0
217,463,0,0,0,0
217,464,0,0,0,0
217,465,0,0,0,0
217,466,0,0,0,0
217,467,0,0,0,0
217,468,0,0,0,0
217,469,0,0,0,0
217,470,0,0,0,0
217,471,0,0,0,0
217,472,0,0,0,0
218,473,0,0,0,0
218,474,0,0,0,0
218,475,0,0,0,0
219,476,0,0,0,0
219,477,0,0,0,0
219,477,0,0,0,0
219,478,0,0,0,0
219,478,0,0,0,0
219,479,0,0,0,0
219,480,0,0,0,0
219,480,0,0,0,0
219,481,0,0,0,0
219,482,0,0,0,0
219,482,0,0,0,0
220,483,0,0,0,0
221,484,0,0,0,0
221,485,0,0,0,0
221,486,0,0,0,0
222,487,0,0,0,0
223,488,0,0,0,0
224,489,0,0,0,0
225,490,0,0,0,0
226,491,0,0,0,0
226,492,0,0,0,0
226,493,0,0,0,0
227,494,0,0,0,0
228,494,0,0,0,0
228,495,0,0,0,0
229,496,0,0,0,0
229,497,0,0,0,0
229,498,0,0,0,0
229,499,0,0,0,0
229,500,0,0,0,0
230,501,0,0,0,0
231,502,0,0,0,0
231,503,0,0,0,0
231,504,0,0,0,0
231,505,0,0,0,0
231,506,0,0,0,0
231,507,0,0,0,0
231,507,0,0,0,0
231,508,0,0,0,0
231,509,0,0,0,0
231,510,0,0,0,0
232,511,0,0,0,0
233,512,0,0,0,0
233,513,0,0,0,0
234,514,0,0,0,0
235,515,0,0,0,0
235,516,0,0,0,0
236,517,0,0,0,0
237,518,0,0,0,0
238,519,0,0,0,0
239,520,0,0,0,0
239,521,0,0,0,0
239,522,0,0,0,0
240,523,0,0,0,0
240,524,0,0,0,0
240,525,0,0,0,0
240,526,0,0,0,0
240,527,0,0,0,0
241,528,0,0,0,0
241,529,0,0,0,0
241,530,0,0,0,0
241,531,0,0,0,0
241,531,0,0,0,0
241,532,0,0,0,0
241,533,0,0,0,0
241,534,0,0,0,0
241,535,0,0,0,0
241,536,0,0,0,0
241,536,0,0,0,0
241,536,0,0,0,0
241,537,0,0,0,0
241,538,0,0,0,0
242,539,0,0,0,0
243,540,0,0,0,0
244,540,0,0,0,0
245,541,0,0,0,0
246,542,0,0,0,0
247,542,0,0,0,0
248,543,0,0,0,0
249,544,0,0,0,0
250,545,0,0,0,0
251,546,0,0,0,0
251,547,0,0,0,0
252,548,0,0,0,0
253,549,0,0,0,0
254,550,0,0,0,0
255,551,0,0,0,0
256,551,0,0,0,0
257,552,0,0,0,0
258,553,0,0,0,0
258,554,0,0,0,0
258,555,0,0,0,0
258,556,0,0,0,0
258,556,0,0,0,0
258,557,0,0,0,0
258,558,0,0,0,0
258,559,0,0,0,0
258,560,0,0,0,0
258,561,0,0,0,0
258,562,0,0,0,0
258,562,0,0,0,0
258,562,0,0,0,0
259,563,0,0,0,0
259,564,0,0,0,0
260,565,0,0,0,0
261,566,0,0,0,0
261,567,0,0,0,0
261,567,0,0,0,0
261,568,0,0,0,0
261,568,0,0,0,0
261,569,0,0,0,0
261,570,0,0,0,0
262,571,0,0,0,0
263,572,0,0,0,0
264,573,0,0,0,0
264,574,0,0,0,0
264,575,0,0,0,0
264,575,0,0,0,0
264,575,0,0,0,0
264,576,0,0,0,0
264,577,0,0,0,0
264,578,0,0,0,0
264,579,0,0,0,0
264,580,0,0,0,0
264,581,0,0,0,0
264,582,0,0,0,0
264,583,0,0,0,0
264,584,0,0,0,0
264,585,0,0,0,0
264,586,0,0,0,0
264,587,0,0,0,0
264,588,0,0,0,0
264,589,0,0,0,0
264,590,0,0,0,0
264,591,0,0,0,0
264,592,0,0,0,0
264,593,0,0,0,0
265,594,0,0,0,0
266,595,0,0,0,0
267,596,0,0,0,0
267,597,0,0,0,0
267,598,0,0,0,0
268,599,0,0,0,0
269,600,0,0,0,0
270,601,0,0,0,0
271,602,0,0,0,0
271,603,0,0,0,0
271,604,0,0,0,0
271,605,0,0,0,0
272,606,0,0,0,0
272,607,0,0,0,0
273,608,0,0,0,0
274,609,0,0,0,0
275,610,0,0,0,0
276,611,0,0,0,0
277,612,0,0,0,0
278,613,0,0,0,0
279,614,0,0,0,0
280,615,0,0,0,0
281,616,0,0,0,0
282,617,0,0,0,0
283,618,0,0,0,0
284,619,0,0,0,0
285,620,0,0,0,0
286,620,0,0,0,0
287,621,0,0,0,0
288,622,0,0,0,0
289,623,0,0,0,0
289,624,0,0,0,0
290,625,0,0,0,0
291,626,0,0,0,0
292,627,0,0,0,0
292,628,0,0,0,0
293,629,0,0,0,0
294,630,0,0,0,0
295,631,0,0,0,0
296,632,0,0,0,0
297,633,0,0,0,0
297,634,0,0,0,0
297,635,0,0,0,0
297,636,0,0,0,0
297,637,0,0,0,0
298,637,0,0,0,0
299,638,0,0,0,0
299,639,0,0,0,0
300,640,0,0,0,0
301,641,0,0,0,0
302,642,0,0,0,0
303,643,0,0,0,0
304,644,0,0,0,0
304,645,0,0,0,0
305,646,0,0,0,0
305,647,0,0,0,0
305,648,0,0,0,0
306,649,0,0,0,0
306,650,0,0,0,0
307,651,0,0,0,0
307,651,0,0,0,0
308,652,0,0,0,0
309,653,0,0,0,0
310,654,0,0,0,0
311,655,0,0,0,0
312,656,0,0,0,0
313,657,0,0,0,0
313,658,0,0,0,0
313,659,0,0,0,0
314,660,0,0,0,0
315,661,0,0,0,0
316,662,0,0,0,0
317,663,0,0,0,0
318,664,0,0,0,0
318,665,0,0,0,0
318,666,0,0,0,0
318,667,0,0,0,0
318,668,0,0,0,0
318,668,0,0,0,0
318,669,0,0,0,0
319,670,0,0,0,0
320,671,0,0,0,0
321,672,0,0,0,0
322,673,0,0,0,0
323,674,0,0,0,0
324,675,0,0,0,0
325,676,0,0,0,0
326,677,0,0,0,0
327,678,0,0,0,0
328,679,0,0,0,0
329,679,0,0,0,0
330,680,0,0,0,0
331,681,0,0,0,0
331,681,0,0,0,0
332,682,0,0,0,0
332,683,0,0,0,0
333,684,0,0,0,0
334,685,0,0,0,0
335,686,0,0,0,0
335,687,0,0,0,0
335,688,0,0,0,0
335,689,0,0,0,0
335,690,0,0,0,0
335,691,0,0,0,0
336,692,0,0,0,0
337,693,0,0,0,0
337,693,0,0,0,0
338,694,0,0,0,0
339,695,0,0,0,0
339,695,0,0,0,0
339,695,0,0,0,0
339,695,0,0,0,0
339,695,0,0,0,0
339,695,0,0,0,0
340,696,0,0,0,0
341,697,0,0,0,0
341,697,0,0,0,0
341,697,0,0,0,0
341,697,0,0,0,0
341,697,0,0,0,0
341,697,0,0,0,0
342,698,0,0,0,0
343,699,0,0,0,0
344,700,0,0,0,0
345,701,0,0,0,0
346,702,0,0,0,0
347,703,0,0,0,0
347,704,0,0,0,0
348,705,0,0,0,0
348,706,0,0,0,0
349,707,0,0,0,0
350,708,0,0,0,0
351,709,0,0,0,0
352,710,0,0,0,0
353,711,0,0,0,0
353,712,0,0,0,0
353,713,0,0,0,0
354,714,0,0,0,0
355,715,0,0,0,0
356,716,0,0,0,0
357,717,0,0,0,0
358,718,0,0,0,0
358,718,0,0,0,0
358,719,0,0,0,0
358,719,0,0,0,0
358,720,0,0,0,0
359,721,0,0,0,0
360,721,0,0,0,0
361,722,0,0,0,0
362,723,0,0,0,0
363,724,0,0,0,0
363,725,0,0,0,0
364,726,0,0,0,0
364,727,0,0,0,0
364,727,0,0,0,0
364,728,0,0,0,0
365,729,0,0,0,0
366,730,0,0,0,0
366,731,0,0,0,0
367,732,0,0,0,0
368,733,0,0,0,0
368,734,0,0,0,0
369,735,0,0,0,0
369,736,0,0,0,0
369,737,0,0,0,0
370,738,0,0,0,0
371,739,0,0,0,0
371,740,0,0,0,0
372,741,0,0,0,0
373,742,0,0,0,0
373,743,0,0,0,0
373,744,0,0,0,0
373,745,0,0,0,0
374,745,0,0,0,0
375,746,0,0,0,0
376,747,0,0,0,0
377,748,0,0,0,0
377,749,0,0,0,0
378,750,0,0,0,0
378,751,0,0,0,0
378,752,0,0,0,0
378,753,0,0,0,0
378,754,0,0,0,0
379,755,0,0,0,0
380,756,0,0,0,0
381,757,0,0,0,0
382,758,0,0,0,0
383,759,0,0,0,0
384,760,0,0,0,0
385,761,0,0,0,0
386,761,0,0,0,0
387,762,0,0,0,0
388,763,0,0,0,0
389,764,0,0,0,0
390,765,0,0,0,0
391,766,0,0,0,0
391,766,0,0,0,0
392,767,0,0,0,0
393,768,0,0,0,0
394,769,0,0,0,0
395,770,0,0,0,0
396,771,0,0,0,0
397,772,0,0,0,0
398,773,0,0,0,0
399,774,0,0,0,0
400,775,0,0,0,0
401,776,0,0,0,0
401,777,0,0,0,0
401,778,0,0,0,0
402,779,0,0,0,0
403,780,0,0,0,0
403,781,0,0,0,0
403,782,0,0,0,0
403,783,0,0,0,0
403,784,0,0,0,0
403,785,0,0,0,0
403,786,0,0,0,0
403,787,0,0,0,0
403,788,0,0,0,0
403,789,0,0,0,0
403,790,0,0,0,0
403,791,0,0,0,0
403,792,0,0,0,0
403,793,0,0,0,0
403,794,0,0,0,0
404,795,0,0,0,0
405,796,0,0,0,0
405,796,0,0,0,0
406,797,0,0,0,0
406,798,0,0,0,0
407,799,0,0,0,0
408,800,0,0,0,0
408,801,0,0,0,0
409,802,0,0,0,0
410,803,0,0,0,0
411,804,0,0,0,0
412,805,0,0,0,0
413,806,0,0,0,0
414,807,0,0,0,0
415,808,0,0,0,0
416,809,0,0,0,0
417,810,0,0,0,0
418,811,0,0,0,0
419,812,0,0,0,0
420,813,0,0,0,0
421,814,0,0,0,0
421,815,0,0,0,0
422,816,0,0,0,0
422,817,0,0,0,0
423,818,0,0,0,0
424,819,0,0,0,0
425,820,0,0,0,0
426,821,0,0,0,0
427,822,0,0,0,0
428,823,0,0,0,0
429,824,0,0,0,0
430,825,0,0,0,0
430,826,0,0,0,0
430,827,0,0,0,0
431,828,0,0,0,0
431,829,0,0,0,0
431,830,0,0,0,0
432,831,0,0,0,0
433,832,0,0,0,0
434,833,0,0,0,0
435,834,0,0,0,0
435,835,0,0,0,0
435,836,0,0,0,0
436,837,0,0,0,0
436,838,0,0,0,0
437,839,0,0,0,0
437,839,0,0,0,0
438,840,0,0,0,0
438,841,0,0,0,0
439,842,0,0,0,0
440,843,0,0,0,0
440,844,0,0,0,0
440,845,0,0,0,0
440,846,0,0,0,0
440,847,0,0,0,0
440,848,0,0,0,0
440,849,0,0,0,0
440,850,0,0,0,0
440,851,0,0,0,0
440,852,0,0,0,0
440,852,0,0,0,0
440,853,0,0,0,0
440,854,0,0,0,0
440,855,0,0,0,0
440,856,0,0,0,0
440,857,0,0,0,0
440,858,0,0,0,0
441,859,0,0,0,0
441,860,0,0,0,0
441,860,0,0,0,0
441,861,0,0,0,0
441,862,0,0,0,0
442,863,0,0,0,0
443,864,0,0,0,0
444,865,0,0,0,0
445,866,0,0,0,0
446,867,0,0,0,0
447,868,0,0,0,0
448,869,0,0,0,0
449,870,0,0,0,0
450,871,0,0,0,0
451,872,0,0,0,0
452,873,0,0,0,0
453,874,0,0,0,0
454,875,0,0,0,0
455,876,0,0,0,0
456,877,0,0,0,0
457,878,0,0,0,0
457,879,0,0,0,0
458,879,0,0,0,0
459,880,0,0,0,0
460,881,0,0,0,0
461,882,0,0,0,0
461,883,0,0,0,0
461,884,0,0,0,0
461,885,0,0,0,0
461,886,0,0,0,0
462,887,0,0,0,0
463,888,0,0,0,0
464,889,0,0,0,0
465,890,0,0,0,0
466,891,0,0,0,0
467,892,0,0,0,0
468,893,0,0,0,0
469,893,0,0,0,0
470,894,0,0,0,0
471,895,0,0,0,0
472,896,0,0,0,0
473,897,0,0,0,0
474,898,0,0,0,0
475,899,0,0,0,0
476,900,0,0,0,0
477,900,0,0,0,0
478,901,0,0,0,0
478,902,0,0,0,0
478,903,0,0,0,0
479,904,0,0,0,0
480,905,0,0,0,0
480,906,0,0,0,0
481,907,0,0,0,0
482,908,0,0,0,0
483,909,0,0,0,0
484,910,0,0,0,0
485,911,0,0,0,0
486,912,0,0,0,0
487,913,0,0,0,0
488,914,0,0,0,0
489,915,0,0,0,0
490,916,0,0,0,0
491,917,0,0,0,0
492,918,0,0,0,0
493,919,0,0,0,0
494,920,0,0,0,0
495,921,0,0,0,0
496,922,0,0,0,0
497,923,0,0,0,0
498,924,0,0,0,0
499,925,0,0,0,0
499,926,0,0,0,0
499,927,0,0,0,0
499,928,0,0,0,0
499,929,0,0,0,0
499,930,0,0,0,0
499,931,0,0,0,0
499,932,0,0,0,0
499,933,0,0,0,0
